Antifade,Transcript,Stack_No,Avg_Max,Std_Max,SEM_Max,Avg_Min,Std_Min,SEM_Min,Avg_Mean,Std_Mean,SEM_Mean,Norm_avg_Max,Norm_std_Max,Norm_SEM_Max,Norm_avg_Min,Norm_std_Min,Norm_SEM_Min,Norm_avg_Mean,Norm_std_Mean,Norm_SEM_Mean
All,nos-2,1,1496.888889,326.314819,108.7716063,214.6666667,64.43407484,21.47802495,565.0274444,104.1728733,34.72429112,1,0,0,1,0,0,1,0,0
All,nos-2,2,1484.777778,322.0049603,107.3349868,212.8888889,65.68569944,21.89523315,558.199,101.2026299,33.73420997,0.992059882,0.022741059,0.007580353,0.990255599,0.020808823,0.006936274,0.988383926,0.005993786,0.001997929
All,nos-2,3,1463.888889,316.2453337,105.4151112,210.8888889,63.51268465,21.17089488,552.1187778,98.74820717,32.91606906,0.978430798,0.018983625,0.006327875,0.982342766,0.019066351,0.00635545,0.977994268,0.008697638,0.002899213
All,nos-2,4,1452.777778,308.9995056,102.9998352,211.1111111,62.10967003,20.70322334,547.7587778,96.98519515,32.32839838,0.971347253,0.023729509,0.007909836,0.985523419,0.020882455,0.006960818,0.97054677,0.01083399,0.00361133
All,nos-2,5,1444.111111,318.9057245,106.3019082,208.6666667,60.54130821,20.18043607,544.4506667,95.4475009,31.81583363,0.964262917,0.023708448,0.007902816,0.974519979,0.021787965,0.007262655,0.964947985,0.012435666,0.004145222
All,nos-2,6,1438.111111,306.2884443,102.0961481,209.2222222,60.36095132,20.12031711,541.6451111,94.30793767,31.43597922,0.961701878,0.022940758,0.007646919,0.977245941,0.018833323,0.006277774,0.960156751,0.013972354,0.004657451
All,nos-2,7,1416.333333,293.223038,97.74101266,206.8888889,58.59062306,19.53020769,539.2197778,93.3126208,31.10420693,0.948221603,0.028507454,0.009502485,0.968034917,0.02522546,0.008408487,0.956015466,0.015046316,0.005015439
All,nos-2,8,1427.666667,304.2959086,101.4319695,209,60.12694903,20.04231634,537.0723333,92.56626841,30.8554228,0.954498697,0.028499965,0.009499988,0.977221474,0.029055045,0.009685015,0.952318432,0.016029282,0.005343094
All,nos-2,9,1431.666667,298.0432016,99.34773386,205.6666667,60.25570512,20.08523504,535.1203333,91.97668643,30.65889548,0.958119184,0.025798431,0.008599477,0.960016927,0.01937424,0.00645808,0.948931588,0.016624132,0.005541377
All,nos-2,10,1422.333333,312.356367,104.118789,205.4444444,58.82625075,19.60875025,533.3464444,91.43211211,30.4773707,0.950314517,0.028826109,0.009608703,0.960725736,0.021180741,0.007060247,0.945855402,0.017253177,0.005751059
